age,income,job_category,years_experience,num_dependents,has_loan,credit_score,irrelevant_col_1,irrelevant_col_2,purchased
25.0,65174.153660947755,healthcare,1.543399217304556,5,1,659.230877492338,-0.9038792895808748,22.618888980206208,0
55.0,,tech,28.41221194777149,2,0,,-0.2602286305631211,52.481118760920374,0
50.0,16341.391182725232,,19.24797044226395,2,0,749.9422143135251,-1.8582426621125354,92.78582254629885,0
40.0,85560.43051716383,finance,16.40307495373377,0,0,601.4472123239358,-0.4943399501826941,96.02260045229679,0
40.0,,other,14.973572447704637,2,1,,0.3989819007023456,12.788238435231635,0
58.0,35584.30173102524,finance,31.295581737633082,1,1,688.6961722250728,0.8249378896141027,34.90042255554506,1
25.0,,healthcare,1.5245281935411912,5,0,818.0905899735608,-0.7130470816913138,69.81446411508566,1
51.0,33104.683075054185,tech,18.924487937418515,3,1,526.7547868424805,1.0518548605275198,22.15584993859303,0
30.0,63369.26631268553,finance,2.5233794327843047,0,1,702.2666351656403,-1.5156919215134717,32.47706286344808,1
26.0,43759.03546768878,retail,3.3328174141988445,0,1,569.9165334741482,-1.2476277991437925,2.3291060004693276,0
44.0,59706.561509286,healthcare,16.522931779528477,5,0,,0.7096618656378763,15.35216809311989,0
63.0,60910.0285379726,finance,28.765219457802385,5,1,,1.6711212285632473,56.23294944177438,0
53.0,108271.47324120783,other,24.762003204607442,4,1,646.3593325250487,0.4934319881836954,65.30900663041828,1
,,retail,9.663838381118497,0,1,637.2963248272633,-0.040342386534012425,64.8911831095837,0
52.0,20209.040037591363,finance,11.765739020174756,0,0,680.5765648301096,-2.1951837465222086,77.83604707782168,0
55.0,92998.01705726564,healthcare,23.178593416653538,1,1,637.1795546695537,-2.0224470560434793,41.528141373879144,1
44.0,40179.29518359784,finance,17.112035268737415,4,0,563.0034092116678,0.12940953689586895,27.349071624115552,1
27.0,95679.1290826928,healthcare,5.578329919385414,4,1,,-0.35806266957117455,1.5580700042524986,0
58.0,61699.2014847546,finance,24.57576861505462,5,0,740.2297733719105,-1.105835182152118,20.66298260523869,1
41.0,45311.56069434198,tech,14.265941180595613,0,0,747.4539448018135,0.06553258083005072,31.238781220203727,1
43.0,60431.4858150373,,22.64791433033532,0,0,556.7412402988734,0.11513136750780958,17.820685648046553,1
37.0,158040.64662995652,other,12.433469394988407,5,0,703.913452206732,0.9444158685402726,2.0144471496602256,1
29.0,170448.47275203644,retail,3.942523932099447,5,0,734.0783084645539,0.13660228301270078,15.744760866519158,1
61.0,51104.54324172544,other,22.793911768064287,4,0,,1.2283943683343845,66.60995535675724,1
55.0,53966.26218761801,,16.811905413891065,0,0,680.7338598545704,0.007994029548813363,62.95854164725958,1
